,county,inspector,siteName,Permittee,reportNumber,permit,date,sitecondition,sitestatus,EvidenceCollected,Compliance,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,Q_12,Q_13,Q_14,Q_15,Q_16,Q_17,Q_18,Q_19,Q_20,Q_21,Q_22,Q_23,Q_24,Q_25,Q_26,Q_27,Q_28,Q_29,Q_30,comments
837,Garrett,SCHARTIGER,Island Tract Mine,Vindex Energy Corp.,443-160301-FIR,SM-02-443,3/1/16,C,C,A,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,scheduled.,Yes,Yes,Yes,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"On site review today with Rich Riggons, Mine Supervisor, for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  There are several bare areas on the permit that require additional seeding and mulching. The operator has Hydra-Seeding scheduled for the coming weeks. Trees are scheduled to be planted this spring at various locations throughout the permit.  The work at the Old Pond #7 location is ongoing. Please see the attached Laboratory Results for water quality information. Vindex Energy Corporation is in the process of submitting an NOI to the Bureau of Mines to have a new Outfall Number and Location established with the NPDES System. The new discharge point will be in close proximity to the old 007 Outfall and will be the outfall for the new treatment system that has been constructed at the southern tip of the permit.  Any questions or concerns, please contact this inspector @ (301)697-0344.     "
1835,Allegany,MURPHY,Mine No. 5 Tipple,"Beechwod Coal, LLC",104-160229-FIR,SC-08-104,2/29/16,no answer given,A,VO,N/A,Yes,Yes,N/A,Yes,N/A,N/A,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,N/A,N/A,N/A,Yes,Yes,Yes,11/23/16,Yes,Yes,Yes,Yes,Yes,N/A,"The discharge for outfall #002 is as follows:  pH is 7.4, 820 Us, 47 degrees F. Outfall # 003 has a pH of 7.9, 910 Us at 48 degrees F.  DMR's are current and appear in good order.      "
31,Allegany,MURPHY,Silt Pit,"Beechwod Coal, LLC",359-160229-FIR,SM-08-359,2/29/16,no answer given,A,VO,N/A,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,No,No,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,11/23/16,Yes,Yes,Yes,Yes,Yes,N/A,"No discharge today,the pond is ice covered.   This site is revegetated except for the pit area.     "
1671,Allegany,MURPHY,Jackson Mt. Big Vein Mine,"C & S Coal Company, Inc.",456-160229-FIR,SM-09-456,2/29/16,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,Yes,No,No,N/A,N/A,N/A,Yes,Yes,N/A,1/21/19,Yes,Yes,Yes,Yes,Yes,N/A,No equipment operating this morning.  Discharge for outfall #1 as follows:  pH is 7.2 with 11oo Us at 51 degrees F.  Restabilize gullies forming in the revegetation  area.     
1425,Ga,SCHARTIGER,Underwood Mine,Laoc Corp.,460-160229-FIR,SM-12-460,2/29/16,N,I,VO,no answer given,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,effluent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,Yes,been,Yes,"Office review today for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  Today, the results from water samples that were taken on 2/01/16 at Outfall 001 on Permit SM- 12-460 were reviewed. Both Total Suspended Solids and Turbidity were elevated above effluent discharge limits.  The laboratory reports show Total Suspended Solids @ 143 mg/L. The NPDES Permit requires that the Daily Maximum for Total Suspended Solids is not to be over 70 mg/L.  The laboratory reports show Turbidity @ 207 NTU. The NPDES Permit requires that the Daily Maximum for Turbidity is not to be over 100 NTU.  A Notice of Violation and Order will be issued.  Any questions or concerns, please contact this inspector @ (301)697-0344.     "
325,Garrett,MURPHY,Weir-Jones Mine,Pine Mountain Coal Company,424-160229-FIR,SM-95-424,2/29/16,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,No,No,No,3/22/16,Yes,Yes,Yes,Yes,Yes,10/12/16,Yes,Yes,Yes,Yes,Yes,Yes,No discharge today from the permit area.  The blasting adv. expires on the 22nd and needs renewal if you have not already done so.     
2032,Garrett,SCHARTIGER,Bakerstown No. 1,Backbone Mountain LLC,DM112-160226-FIR,DM-03-112,2/26/16,C,I,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,Yes,No,Satisfactory?,pH-8.8,No,No,N/A,N/A,N/A,followed?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"On site review today with Aaron Miller for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  The area is under heavy snow cover.  Mine is in Inactive Status. Pond #14 is frozen over but is discharging, pH-8.8, Specific Conductance-200, 35 degrees.  No issues noted  Questions or comments, please call this inspector @ (301) 697-0344.     "
437,Garrett,SCHARTIGER,C-Mine Strip,Mettiki Coal LLC,428-160226-FIR,SM-97-428,2/26/16,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"On site review today with Aaron Miller for the purpose of inspections and enforcement for the Maryland Bureau of mines.  The site is under heavy snow cover and is inaccessible by vehicle. No issues noted.  Questions or concerns, please contact this inspector @ (301) 697-0344     "
1581,Garrett,SCHARTIGER,Mettiki Mine,Mettiki Coal LLC,DM101-160226-FIR,DM-84-101,2/26/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"On site review today with Aaron Miller for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  The area is under heavy snow cover. Sump and Pond maintenance has been performed. Coal is stockpiled and is being trucked off of the site.  The operator is working Refuse #2 today. Rill repair, seeding and mulching are scheduled for the spring, as weather permits.  The area affected by the Slurry Leak is under heavy snow cover. Several area of Sand Run was visually inspected with no issues noted. Mettiki Coal is performing routine inspections and water sampling of Sand Run.  AMD Plant is discharging @ 7624 GPM, pH7.84.     "
255,Garrett,ARRINGTON,Caledonia Hill Job,Tri Star Mining Inc.,419-160226-FIR,SM-91-419,2/26/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,.,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,11/1/16,N/A,N/A,N/A,N/A,N/A,N/A," On site review of the permit area with Ray Tighe, foreman for the Operator.  Actively working on the NW highwall removing coal from the Pittsburgh and the Little Pittsburgh seams.  Roads and drainage structures being maintained, no discharges observed.  Working on construction of Trap 10.  Temporary perimeter markers installed on amendment area.  Permanent markers will be installed after pond construction is completed.  Note that a revised comprehensive drainage control plan for INC VII has been submitted to the Bureau as per Special Condition No. 2 of your permit (OPA 13-47).     "
1611,Garrett,MURPHY,Steyer Deep Mine,Wolf Run Mining,109-160226-FIR,DM-90-109,2/26/16,C,I,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,No,No,Yes,No,No,No,N/A,N/A,N/A,Yes,N/A,Yes,7/31/16,Yes,Yes,Yes,Yes,Yes,N/A,Pond levels are low and ice covered. No discharge today. Site is in Inactive Status till 07-01-16. DMR's are current and appear in good order.     
674,Allegany,MONGOLD,Naked Lake/Cabin Run,Arch Coal / Vindex Energy Corp.,439-160225-FIR,13-SP-1100,2/25/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,7/31/16,Yes,Yes,N/A,N/A,N/A,2/14/16, On this date a Partial Inspection of the permit site was conducted.  Overburden and coal removal operations were being conducted on this date.  CCB's are being dumped and mixed into the backfill as per their approved permit.  Trucks were being loaded for shipment to the AES power plant.  The haul road has been crowned to alow for quick drainage and alow the haul road to dry quicker which will help with tracking issues.  Two sweeper trucks were in operation cleaning the county road on this date.      
1632,Garrett,MONGOLD,Messenger/Harlem Mine,"G & S Coal Company, Inc",455-160225-FIR,SM-08-455,2/25/16,C,I,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,12/10/16,Yes,Yes,N/A,N/A,N/A,12/31/16," This site is approved for ""Temporary Cessation of Mining Activities"" from 11/15/2015 to 5/15/2016.  The permit area was snow covered on this date.  The repairs to the rills and the area that had slumped at the highwall on the reclaimed area that were noted on previous inspection reports were not completed before removing the equipment. These repairs will need to be made before the reclaimed area can be considered for bond release and before becoming a violation.   Pond #1 was frozen and not discharging.      "
1978,Allegany,MONGOLD,Frostburg Loadout,Arch Coal / Vindex Energy Corp.,SC118-160224-FIR,SC-87-118,2/24/16,C,I,VO,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,N/A,N/A,N/A,N/A,7/31/16,Yes,Yes,N/A,N/A,N/A,N/A," This site has a ""Temporary Cessation of Mining Activities"" good until 6/30/2016.  The ponds were frozen and not discharging.  No environmental problems or concerns were observed during this inspection.       "
1721,Garrett,MONGOLD,Taylor #1 Mine,ARJ Construction,DM111-160224-FIR,DM-00-111,2/24/16,C,A,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,5/1/16,Yes,Yes,Yes,N/A,N/A,N/A," On site inspection of the surface area of the deep mine conducted today.  The deep mine was actively producing coal on one section today.  The stone outlet sediment trap has been cleaned. Due to weather conditions the entrance to pond did not get cleaned yet. As soon as weather permits, clean the entrance to Pond #1.     "
1256,Garrett,MURPHY,Duckworth Mine,"G & S Coal Company, Inc",454-160224-FIR,SM-07-454,2/24/16,N,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,pumping,Yes,Yes,Yes,Yes,No,N/A,12/10/16,Yes,Yes,Yes,Yes,Yes,Current?,"Inspection today with Ron Shartiger present.There is no one working on site today. Discharge from ponds as follows:   Pond #1-- pH is 6.0, 210 Us,  39 F. Pond #2-- pH  is 7.5, 1010 Us, 38 F. Pond #3-- pH is 7.4,  260 Us, 39 F. DMR's are current and appear in good order.  Cut several trees located on pond #3 dam.  Pumping and backfilling  required by this permit and as noted on previous field reports does not meet permit requirements  Put two dozers  on the Harlem seam and backfill continously until completed. Treat water in the Bakerstown pit to meet permit limits and continue pumping until the pit is empty. Cover coal seam as per the approved mining permit and backfill until completed.  Re-establish corner markers and place markers on eastern permit line  so they are visible from one to the next.               [ from NE corner southbound to where cut off ditch meets haul road].  Issuing NOVO -454-160224-NOV.  1.Failure to conduct mining in accordance with the discription contained in the approved permit.  2. Reclamation shall be contemporaneous.       "
1388,Garrett,SCHARTIGER,Wolfden Mine,Vindex Energy Corp.,459-160224-FIR,SM-11-459,2/24/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,present?,present?,present?,present?,Hazardous?,Satisfactory?,No,No,manganese,Yes,Yes,Yes,Yes,Yes,Yes,7/31/16,Yes,Yes,Yes,Yes,Yes,Yes,"On site review today of the permit area with Rich Riggins, Mine Superintendant, for the purpose of Inspection and Enforcements for the Maryland Bureau of Mines.  Heavy ice and fog are restricting accessibility and visibility today.  All drainage facilities and ponds appear operational at time of the inspection. Caustic and Floc is being added to treat Manganese. No discharge observed on this date.  Mining is active on the Freeport Seem. Backfill is active on the Middle Kittanning Coal Seam.  Coal is stockpiled and is being trucked off of the site today.  For questions or concerns, please contact this inspector @ (301)697-0344   "
1294,Allegany,SCHARTIGER,Pond Hill Mine,"Beechwod Coal, LLC",457-160223-FIR,SM-11-457,2/23/16,C,A,VO,N/A,Yes,Yes,Yes,Yes,Yes,N/A,been,Cell,No,No,No,Yes,No,Yes,No,No,ditch,Yes,Yes,Yes,Yes,Yes,the,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"On site review today for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  Site is active today with mining operations in progress on the Pittsburgh Coal Seem. Coal is stock piled on site.  Any questions regarding this inspection, please call this inspector at (301) 697-0344     "
2016,Garrett,MONGOLD,Snake Hill Yard No. 1,"G & S Coal Company, Inc",SC120-160223-FIR,SC-07-120,2/23/16,C,A,VO,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,events.,N/A,N/A,N/A,N/A,N/A,N/A,12/10/16,Yes,Yes,N/A,this,N/A,N/A, There was no activity at this site during this inspection.  Pond #1 was frozen and not discharging.  No environmental problems or concerns were noted during this inspection.          
940,Garrett,"ARRINGTON,MURRAY",Little Pittsburgh Strip,"Savage Mountain Minerals, Inc.",445-160223-FIR,SM-04-445,2/23/16,C,A,A,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,9/30/16,Yes,Yes,Yes,Yes,Yes,Yes," On site review of the permit area this date with Jim Clark - Savage Mountain Minerals, Joseph Montrella - OSM and Tom Murray and myself - Bureau of Mines.  Upon entering the site it was observed that the haul road sump was full from the thawing of the haul road. The Bureau advised the mine foreman of the situation and he had the sump cleaned out before our inspection was completed.  No violation to be issued.  All other drainage facilities and ponds were operational at time of the inspection.  No discharges were observed this date from Ponds No. 2 and 3.  We also inspected Pond No. 1, although this outfall has been eliminated and the permit has been modified to leave this pond in as a permanent structure.  No active mining today and no other issued were observed on the site.     "
1219,Allegany,SCHARTIGER,Walker Mine,"Walker Bros. Mining, Inc.",453-160223-FIR,SM-07-453,2/23/16,C,A,VO,no answer given,Yes,Yes,344,Yes,Yes,Plan?,Yes,Yes,No,No,No,Yes,No,completed,No,No,No,permit,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"On site review today with Sam Walker, the operator, for the purpose of inspections and enforcement for the Maryland Bureau of Mines  The site is active today with mining operations in progress.  Coal is being screened and blended. Mining is active on the Pittsburgh Seem.  Seeding and mulching is required on the breast of Pond #2 and at several other areas that are in need of minor repairs. The repairs will be made min the spring as weather permits.  Any questions regarding this inspection, please call this inspector, Ron Schartiger, at (301) 697- 0344     "
714,Allegany,MONGOLD,Miller Road Mine,"G & S Coal Company, Inc",440-160222-FIR,SM-01-440,2/22/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,12/10/16,Yes,Yes,N/A,N/A,N/A,12/31/16, Review of the permit conditions today.  Actively mining and removing overburden today.  Maintain the haul road with clean stone so that tracking out onto the county road does not occur.   
975,Garrett,ARRINGTON,Pittsburgh Strip,"Savage Mountain Minerals, Inc.",446-160222-FIR,SM-04-446,2/22/16,C,A,VO,no answer given,Yes,Yes,N/A,Yes,Yes,N/A,Yes,Yes,No,No,No,Yes,No,Yes,No,No,N/A,Yes,Yes,Yes,Yes,Yes,Yes,9/30/16,Yes,Yes,Yes,Yes,Yes,Current?,"On site review of the permit area this date with Gary Bean, mine foreman.  Actively  working on Big Vein Coal Seam and backfilling on Franklin seam.  All drainage facilities and ponds operational at time of the inspection.  No problems observed.     "
1469,Garrett,ARRINGTON,Macgruder Mine,"Savage Mountain Minerals, Inc.",461-160222-FIR,SM-13-461,2/22/16,C,A,VO,no answer given,renewal,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,No,No,N/A,Yes,Yes,Yes,Yes,Yes,N/A,9/30/16,Yes,submitted.,Yes,Yes,Yes,Yes,"Made site inspection today with Eugene Liller, Savage Mt. Minerals.  Actively mining coal today.  No problems observed on the site today.       "
1056,Garrett,MONGOLD,Russell Farm,"Savage Mountain Minerals, Inc.",448-160222-FIR,SM-05-448,2/22/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,Yes,Yes,Yes,Yes,9/30/16,Yes,Yes,N/A,N/A,N/A,12/31/16, Inspection of the surface coal mine site today with Savage Mt. Foreman Roy Hartman.  Pond #4 was frozen and not discharging.  #5 Franklin coal was being loaded out of the pit.  No problems were observed.     
906,Garrett,MONGOLD,Crawford Farm,Tri Star Mining Inc.,444-160222-FIR,SM-03-444,2/22/16,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,complete.,Yes,11/1/16,N/A,N/A,N/A,N/A,N/A,N/A,  The permit area is snow covered with limited visibility of the revegetation.  No problems were observed.    
584,Allegany,SCHARTIGER,Hampshire Hill Mines,Tri Star Mining Inc.,436-160222-FIR,SM-03-436,2/22/16,C,A,VO,no answer given,Yes,performed,Yes,Yes,Yes,Plan?,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"On sight inspections with Ray Tighe, Tri-Star Mining for the purpose of inspections and enforcement for the Maryland Bureau of Mines  Backfill on the Beachy Tract is active and continuous. Final grades are being set on several areas. Topsoil will spread in the spring. Mining in the Brashear Tract is active on the Pittsburgh and Little Pittsburgh Seam. Coal is stockpiled at the coal yard, blending is in progress. Ponds are frozen over with no discharges.  Additional backfilling, seeding and mulching along with vegetative repairs are scheduled for the spring.  No issues noted.  Any questions, please call this inspector, Ron Schartiger, at (301) 697-0344    "
1158,Allegany,MURPHY,Federal Hill Mine,"Beechwod Coal, LLC",451-160217-FIR,SM-06-451,2/17/16,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,No,No,No,12/31/15,Yes,Yes,Yes,Yes,Yes,11/23/16,Yes,Yes,Yes,Yes,Yes,Current?,Most of the site is inaccessable due to snow cover .  The ponds are covered with ice and snow. No discharge today.  DMR's are current and appear in good order.     
291,Garrett,MURPHY,Manor Hill Job,"G & S Coal Company, Inc",421-160217-FIR,SM-92-421,2/17/16,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,12/10/16,Yes,Yes,Yes,Yes,Yes,N/A,The outfall and most of the site is inaccessable due to snow and ice cover .      No backfilling on site today.  Continue backfilling for a minimum of 40 hrs.per week until notified by the Bureau of Mines that reclamation is contemporaneous.      
1012,Allegany,MURPHY,Commonwealth Mine,"Beechwod Coal, LLC",447-160216-FIR,SM-05-447,2/16/16,no answer given,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,No,No,No,No,No,Yes,No,No,No,blasting,N/A,N/A,Yes,Yes,.,11/23/16,Yes,Yes,Yes,Yes,Yes,N/A,No discharge today. The site is snow covered. There is little change since last inspection.   
332,Allegany,MURPHY,Common Wealth,"Jenkins Development, Inc.",411-160216-FIR,SM-87-411,2/16/16,no answer given,A,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,.,current?,N/A,N/A,N/A,Yes,N/A,N/A,This site is in the final stages of bond release. The site is innaccessable due to snow cover today. Little change since last inspection. 
1491,Al,SCHARTIGER,Winter Farm,"Beechwod Coal, LLC",SM462-160212-FIR,SM-13-462,2/12/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,Plan?,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,time,N/A,N/A,Yes,N/A,began.,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"On sight review today for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  The permit is a new permit and has just been started within the last several months. Mining is active on the Pittsburg Seam. Coal is stockpiled on site. The trap is frozen over with no discharge.  Sample Point G1 has collapsed. The operator is working with Bureau of Mines Permitting Section for direction on how to proceed on the issue.  All Perimeter Markers and Increment Markers need to be installed on this Permit.  Any questions or comments, please contact Ron Schartiger at (301) 697-0344.     "
875,Allegany,MURPHY,Hampshire Hill,"G & S Coal Company, Inc",430-160212-FIR,SM-98-430,2/12/16,no answer given,I,VO,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,Yes,No,No,No,N/A,No,No,Yes,No,No,No,N/A,N/A,N/A,Yes,Yes,Yes,12/10/16,Yes,Yes,Yes,N/A,Yes,N/A,"No discharge today, ponds are dry.  The site is snow covered.    "
110,Allegany,SCHARTIGER,Koontz Mine,"Beechwod Coal, LLC",FIR,SM-08-403,2/11/16,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,longer,present?,present?,present?,present?,Hazardous?,Satisfactory?,No,No,No,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"On sight review today for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  Area is snow covered and inaccessible by vehicle.  Any questions or concerns regarding this inspection, please call this inspector at (301) 697-0344.    "
151,Allegany,SCHARTIGER,Koontz Mine,"Clise Coal Co., Inc.",404-160211-FIR,SM-86-404,2/11/16,C,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,been,N/A,N/A,N/A,N/A,N/A,YES,today?,No,No,N/A,N/A,N/A,Yes,N/A,spring.,current?,Design?,N/A,N/A,Yes,Yes,Current?,"On site review today for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  Several areas throughout the permit will need rills fixed and bare area repairs. The operator will schedule the repairs for spring, as soon as weather permits.  The Clear Water Diversion Ditch, along the permit boundary, will need to be removed. The operator will schedule removal for the spring, as soon as weather permits.  Upon receiving this Field Inspection Report, the operator will contact this inspector to discuss the schedule for the work listed above. Work will begin as weather permits.  Any questions regarding this inspection, please contact this inspector @ (301) 697-0344.  "
189,Allegany,MURPHY,Harvey Mine,"Ritchie Trucking & Excavating, Inc.",407-160211-FIR,SM-86-407,2/11/16,C,C,VO,no answer given,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,11/23/16,N/A,N/A,N/A,Yes,N/A,N/A,This site is in good condition.This site is revegated and in the late stages of bond release [phase 2 & 3].  Little change since last inspection.     
1864,Allegany,MURPHY,Shaft Tipple,"United Energy Coal, Inc.",110-160211-FIR,SC-83-110,2/11/16,no answer given,R,VO,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,No,No,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,N/A,N/A,N/A,N/A,This is an AML reclamation project managed by the  Bureau of Mines.  No discharge today.     
795,Garrett,SCHARTIGER,Beechwood Mine,Vindex Energy Corp.,SM-02-442-160211-FIR,SM-02-442,2/11/16,C,I,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,No,present?,present?,present?,present?,Hazardous?,Satisfactory?,today?,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Yes,N/A,"On site review today for the purpose of inspections and enforcement for the Maryland Bureau of Mines.  The area is under heavy snow cover and is inaccessible by vehicle.  No issues noted.  Any questions regarding this inspection, please call this inspector at (301) 697-0344       "
1092,Allegany,MURPHY,Midlothian Barnes Mine,"Clise Coal Co., Inc.",449-160210-FIR,SM-05-449,2/10/16,no answer given,C,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Yes,N/A,N/A,"This site is revegated and in the late stages of bond release [phase 2 & 3].   If weak spots in the reveg develop over the winter, they will be addressed in the spring.  Little change since last inspection.     "
65,Allegany,MURPHY,Barnes Mine,"Fairview Coal Company, Inc.",399-160210-FIR,SM-85-399,2/10/16,no answer given,C,VO,N/A,Yes,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Yes,N/A,N/A,"This site is in the final stages of reclamation.  Little change on site since last inspection.  If weak spots in the reveg develop over the winter, they will be addressed in the spring.     "
1716,Garrett,MONGOLD,Taylor #1 Mine,ARJ Construction,DM111-160208-FIR,DM-00-111,2/8/16,C,A,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,Yes,No,No,No,Yes,No,N/A,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,Yes,5/1/16,Yes,Yes,No,Yes,Yes,N/A," On site inspection of the surface area of the deep mine conducted today.  The deep mine was actively producing coal on one section today.  Coal is being processed and loaded onto trucks for shipment.  The lower coal yard/processing area needs to have the internal sump constructed so that it can be maintained with the loader and have an adequate treatment system set up at this location and maintained to treat surface runoff.   Pond #1 was discharging an 8.8 pH, and 790 specific conductance @ 37 degrees F... Pond #2 was not discharging. Water quality and discharge monitoring reports are being submitted on time with no violations noted.  Within two weeks, in order to avoid a violation, clean the stone outlet sediment trap and the entrance to Pond #1.    "
1527,Garrett,MONGOLD,Moran Lower Bakerstown Mine,Moran Coal Company,463-160208-FIR,SM-13-463,2/8/16,C,A,VO,no answer given,Yes,Yes,Yes,Yes,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,3/25/16,Yes,Yes,N/A,N/A,N/A,11/31/2016, There was no activity at this surface coal mine site today.  The permit area is snow covered with limited visibility to the ground conditions.  Continue backfilling and re-grading as mining progress in order to stay in compliance with your OAL. Seed and mulch these areas as soon as weather permits.  The haul road is in satisfactory condition.    
402,Allegany,MONGOLD,Carlos Mine,Arch Coal / Vindex Energy Corp.,393-160204-FIR,SM-84-393,2/4/16,C,I,VO,no answer given,Yes,Yes,Yes,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,7/31/16,Yes,Yes,N/A,N/A,N/A,11/4/13," This site has a ""Temporary Cessation of Mining Activities"" good until 6/30/16.  The permit site was snow covered with limited visibility of ground conditions on this date.  No problems were observed.       "
1941,Allegany,MONGOLD,Clark Tipple,Tri Star Mining Inc.,117-160204-FIR,SC-87-117,2/4/16,C,A,VO,no answer given,Yes,Yes,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,events.,N/A,N/A,N/A,N/A,N/A,N/A,11/1/15,Yes,Yes,N/A,this,N/A,N/A, No activity at this site today.  The permit area is snow covered with limited visibility of ground conditions.  Pond #1 was not discharging.  No problems were observed during this inspection.  Maintain the water treatment system and keep soda ash bricketts in the treatment barrels.       
